COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
Adams,2,2,0,1/1/2022
Barnes,14,6,1,1/1/2022
Benson,1,1,0,1/1/2022
Billings,1,0,0,1/1/2022
Bottineau,4,0,0,1/1/2022
Bowman,7,1,0,1/1/2022
Burke,1,0,0,1/1/2022
Burleigh,227,60,0,1/1/2022
Cass,497,125,0,1/1/2022
Cavalier,4,1,0,1/1/2022
Dickey,6,2,0,1/1/2022
Divide,2,2,0,1/1/2022
Dunn,2,0,0,1/1/2022
Eddy,9,1,0,1/1/2022
Emmons,5,1,0,1/1/2022
Foster,3,0,0,1/1/2022
Golden Valley,3,1,0,1/1/2022
Grand Forks,197,39,0,1/1/2022
Grant,13,1,0,1/1/2022
Griggs,4,0,0,1/1/2022
Hettinger,3,1,0,1/1/2022
Kidder,4,0,0,1/1/2022
LaMoure,7,0,0,1/1/2022
Logan,3,1,0,1/1/2022
McHenry,3,1,0,1/1/2022
McIntosh,0,2,0,1/1/2022
McKenzie,23,5,0,1/1/2022
McLean,10,8,0,1/1/2022
Mercer,10,3,0,1/1/2022
Morton,77,15,0,1/1/2022
Mountrail,13,0,0,1/1/2022
Nelson,3,1,0,1/1/2022
Oliver,0,0,0,1/1/2022
Pembina,11,3,0,1/1/2022
Pierce,5,4,0,1/1/2022
Ramsey,16,2,0,1/1/2022
Ransom,2,1,0,1/1/2022
Renville,1,0,0,1/1/2022
Richland,17,4,0,1/1/2022
Rolette,89,4,0,1/1/2022
Sargent,2,1,0,1/1/2022
Sheridan,1,0,0,1/1/2022
Sioux,10,0,0,1/1/2022
Slope,0,0,0,1/1/2022
Stark,37,8,0,1/1/2022
Steele,3,1,0,1/1/2022
Stutsman,28,5,0,1/1/2022
Towner,2,0,0,1/1/2022
Traill,8,0,0,1/1/2022
Unknown,0,0,0,1/1/2022
Walsh,8,8,0,1/1/2022
Ward,85,33,0,1/1/2022
Wells,7,6,0,1/1/2022
Williams,39,12,0,1/1/2022
Adams,2,0,0,1/2/2022
Barnes,9,7,0,1/2/2022
Benson,0,1,0,1/2/2022
Billings,0,1,0,1/2/2022
Bottineau,6,0,0,1/2/2022
Bowman,4,3,0,1/2/2022
Burke,1,0,0,1/2/2022
Burleigh,230,71,0,1/2/2022
Cass,410,170,0,1/2/2022
Cavalier,3,1,0,1/2/2022
Dickey,4,2,0,1/2/2022
Divide,3,0,0,1/2/2022
Dunn,1,1,0,1/2/2022
Eddy,6,5,0,1/2/2022
Emmons,5,0,1,1/2/2022
Foster,0,2,1,1/2/2022
Golden Valley,1,2,0,1/2/2022
Grand Forks,197,38,0,1/2/2022
Grant,10,3,0,1/2/2022
Griggs,4,0,0,1/2/2022
Hettinger,3,0,0,1/2/2022
Kidder,2,2,0,1/2/2022
LaMoure,7,2,0,1/2/2022
Logan,2,1,0,1/2/2022
McHenry,5,1,0,1/2/2022
McIntosh,0,0,0,1/2/2022
McKenzie,23,7,0,1/2/2022
McLean,9,5,0,1/2/2022
Mercer,6,4,0,1/2/2022
Morton,80,26,0,1/2/2022
Mountrail,8,6,0,1/2/2022
Nelson,3,0,0,1/2/2022
Oliver,0,0,0,1/2/2022
Pembina,7,4,1,1/2/2022
Pierce,5,1,0,1/2/2022
Ramsey,9,8,0,1/2/2022
Ransom,2,0,0,1/2/2022
Renville,0,1,0,1/2/2022
Richland,8,9,0,1/2/2022
Rolette,90,11,0,1/2/2022
Sargent,0,2,0,1/2/2022
Sheridan,1,0,0,1/2/2022
Sioux,13,1,0,1/2/2022
